"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","subj_idx"
"93","response","~","X","c",-0.424318676955911,0.0820655681831586,-5.17048363095339,2.33488926415504e-07,-0.585164234965718,-0.263473118946104,-0.424318676955911,-0.404521902079454,-0.404440859926566,6
"94","response","~","S","s0",0.0448490969739656,0.11603053834882,0.386528388234627,0.699105382343538,-0.182566579296516,0.272264773244447,0.0448490969739656,0.0213707827367073,0.0427480766984135,6
"95","response","|","t1","",-0.251158309207218,0.184201043845298,-1.36350100935451,0.172724666571429,-0.612185721058685,0.109869102644248,-0.251158309207218,-0.23939243797186,-0.23939243797186,6
"96","M","~~","M","",1.04071342182664,0.0665508196076558,15.6378753554362,0,0.910276212254012,1.17115063139927,1.04071342182664,0.481886452572931,0.481886452572931,6
"97","response","~~","response","",0.989138341155879,0,NA,NA,0.989138341155879,0.989138341155879,0.989138341155879,0.898633884035383,0.898633884035383,6
"98","X","~~","X","",1.00040080160321,0,NA,NA,1.00040080160321,1.00040080160321,1.00040080160321,1,1.00040080160321,6
"99","X","~~","S","",-0.00496993987975952,0,NA,NA,-0.00496993987975952,-0.00496993987975952,-0.00496993987975952,-0.00993940233031898,-0.00496993987975952,6
"100","S","~~","S","",0.249923847695391,0,NA,NA,0.249923847695391,0.249923847695391,0.249923847695391,1,0.249923847695391,6
"101","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,6
"102","M","~1","","",-0.123918731567058,0.143902152758218,-0.861131881572785,0.389165411782633,-0.405961768270946,0.158124305136829,-0.123918731567058,-0.0843225516446018,-0.0843225516446018,6
"103","response","~1","","",0,0,NA,NA,0,0,0,0,0,6
"104","X","~1","","",0.04,0,NA,NA,0.04,0.04,0.04,0.0399919863767602,0.04,6
"105","S","~1","","",1.524,0,NA,NA,1.524,1.524,1.524,3.04846433053111,1.524,6
"106","indirect",":=","a*b","indirect",0.108044130544834,0.0582343432404719,1.85533354602589,0.0635486106340579,-0.00609308486983462,0.222181345959502,0.108044130544834,0.10300328401773,0.102982648279965,6
"107","direct",":=","c","direct",-0.424318676955911,0.0820655681831586,-5.17048363095339,2.33488926415504e-07,-0.585164234965718,-0.263473118946104,-0.424318676955911,-0.404521902079454,-0.404440859926566,6
"108","total",":=","c+(a*b)","total",-0.316274546411077,0.0583799157358186,-5.41752317427599,6.0430318971072e-08,-0.430697078673765,-0.201852014148389,-0.316274546411077,-0.301518618061724,-0.301458211646601,6
"109","M","~","X","a",1.01928765497712,0.0433884860397005,23.4921230956173,0,0.934247784995585,1.10432752495865,1.01928765497712,0.728348167821823,0.727829100089337,7
"110","response","~","M","b",0.0995316890512773,0.0657106730821942,1.51469592963655,0.129849425693666,-0.0292588635897088,0.228322241692263,0.0995316890512773,0.133605196792881,0.133605196792881,7
"111","response","~","X","c",-0.370350571947368,0.0910448211026123,-4.0677829607679,4.74625569353293e-05,-0.54879514228738,-0.191906001607355,-0.370350571947368,-0.355236239828334,-0.35498307564443,7
"112","response","~","S","s0",0.246397258084569,0.124151008007498,1.984657732861,0.0471825643782797,0.00306575374552892,0.48972876242361,0.246397258084569,0.117825970063703,0.236173137374404,7
"113","response","|","t1","",-0.30002671203421,0.19519630095191,-1.53705121752347,0.12428076757909,-0.682604431815394,0.0825510077469747,-0.30002671203421,-0.287577266192329,-0.287577266192329,7
"114","M","~~","M","",0.920828112373906,0.0599033256171252,15.3719030268773,0,0.803419751610165,1.03823647313765,0.920828112373906,0.469508946430594,0.469508946430594,7
"115","response","~~","response","",0.990877763702093,0,NA,NA,0.990877763702093,0.990877763702093,0.990877763702093,0.910351975416618,0.910351975416618,7
"116","X","~~","X","",1.00142685370741,0,NA,NA,1.00142685370741,1.00142685370741,1.00142685370741,1,1.00142685370741,7
"117","X","~~","S","",-0.00705410821643287,0,NA,NA,-0.00705410821643287,-0.00705410821643287,-0.00705410821643287,-0.0141293432657317,-0.00705410821643287,7
"118","S","~~","S","",0.248897795591182,0,NA,NA,0.248897795591182,0.248897795591182,0.248897795591182,1,0.248897795591182,7
"119","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,7
"120","M","~1","","",0.0565004370323812,0.138945858628566,0.40663635167004,0.684275094146376,-0.215828441680602,0.328829315745364,0.0565004370323812,0.0403445112271623,0.0403445112271623,7
